name,url,description,duration_minutes,adaptive_support,remote_support,test_type
Generic Test Variant 91,https://www.shl.com/products/product-catalog/view/generic-variant-91/,SHL Generic Test Variant 91: General assessment for various roles.,60,No,Yes,['Knowledge & Skills']
Generic Test Variant 92,https://www.shl.com/products/product-catalog/view/generic-variant-92/,SHL Generic Test Variant 92: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 93,https://www.shl.com/products/product-catalog/view/generic-variant-93/,SHL Generic Test Variant 93: General assessment for various roles.,40,No,Yes,['Knowledge & Skills']
Generic Test Variant 94,https://www.shl.com/products/product-catalog/view/generic-variant-94/,SHL Generic Test Variant 94: General assessment for various roles.,40,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 95,https://www.shl.com/products/product-catalog/view/generic-variant-95/,SHL Generic Test Variant 95: General assessment for various roles.,25,No,Yes,['Personality & Behaviour']
Generic Test Variant 96,https://www.shl.com/products/product-catalog/view/generic-variant-96/,SHL Generic Test Variant 96: General assessment for various roles.,35,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 97,https://www.shl.com/products/product-catalog/view/generic-variant-97/,SHL Generic Test Variant 97: General assessment for various roles.,35,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 98,https://www.shl.com/products/product-catalog/view/generic-variant-98/,SHL Generic Test Variant 98: General assessment for various roles.,20,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 99,https://www.shl.com/products/product-catalog/view/generic-variant-99/,SHL Generic Test Variant 99: General assessment for various roles.,20,No,Yes,['Knowledge & Skills']
Generic Test Variant 100,https://www.shl.com/products/product-catalog/view/generic-variant-100/,SHL Generic Test Variant 100: General assessment for various roles.,45,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 101,https://www.shl.com/products/product-catalog/view/generic-variant-101/,SHL Generic Test Variant 101: General assessment for various roles.,10,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 102,https://www.shl.com/products/product-catalog/view/generic-variant-102/,SHL Generic Test Variant 102: General assessment for various roles.,35,No,Yes,['Personality & Behaviour']
Generic Test Variant 103,https://www.shl.com/products/product-catalog/view/generic-variant-103/,SHL Generic Test Variant 103: General assessment for various roles.,65,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 104,https://www.shl.com/products/product-catalog/view/generic-variant-104/,SHL Generic Test Variant 104: General assessment for various roles.,10,No,Yes,['Knowledge & Skills']
Generic Test Variant 105,https://www.shl.com/products/product-catalog/view/generic-variant-105/,SHL Generic Test Variant 105: General assessment for various roles.,30,No,Yes,['Personality & Behaviour']
Generic Test Variant 106,https://www.shl.com/products/product-catalog/view/generic-variant-106/,SHL Generic Test Variant 106: General assessment for various roles.,60,No,Yes,['Knowledge & Skills']
Generic Test Variant 107,https://www.shl.com/products/product-catalog/view/generic-variant-107/,SHL Generic Test Variant 107: General assessment for various roles.,25,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 108,https://www.shl.com/products/product-catalog/view/generic-variant-108/,SHL Generic Test Variant 108: General assessment for various roles.,45,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 109,https://www.shl.com/products/product-catalog/view/generic-variant-109/,SHL Generic Test Variant 109: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 110,https://www.shl.com/products/product-catalog/view/generic-variant-110/,SHL Generic Test Variant 110: General assessment for various roles.,15,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 111,https://www.shl.com/products/product-catalog/view/generic-variant-111/,SHL Generic Test Variant 111: General assessment for various roles.,10,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 112,https://www.shl.com/products/product-catalog/view/generic-variant-112/,SHL Generic Test Variant 112: General assessment for various roles.,15,No,Yes,['Personality & Behaviour']
Generic Test Variant 113,https://www.shl.com/products/product-catalog/view/generic-variant-113/,SHL Generic Test Variant 113: General assessment for various roles.,30,No,Yes,['Knowledge & Skills']
Generic Test Variant 114,https://www.shl.com/products/product-catalog/view/generic-variant-114/,SHL Generic Test Variant 114: General assessment for various roles.,40,No,Yes,['Knowledge & Skills']
Generic Test Variant 115,https://www.shl.com/products/product-catalog/view/generic-variant-115/,SHL Generic Test Variant 115: General assessment for various roles.,45,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 116,https://www.shl.com/products/product-catalog/view/generic-variant-116/,SHL Generic Test Variant 116: General assessment for various roles.,15,No,Yes,['Personality & Behaviour']
Generic Test Variant 117,https://www.shl.com/products/product-catalog/view/generic-variant-117/,SHL Generic Test Variant 117: General assessment for various roles.,25,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 118,https://www.shl.com/products/product-catalog/view/generic-variant-118/,SHL Generic Test Variant 118: General assessment for various roles.,50,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 119,https://www.shl.com/products/product-catalog/view/generic-variant-119/,SHL Generic Test Variant 119: General assessment for various roles.,50,No,Yes,['Personality & Behaviour']
Generic Test Variant 120,https://www.shl.com/products/product-catalog/view/generic-variant-120/,SHL Generic Test Variant 120: General assessment for various roles.,10,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 121,https://www.shl.com/products/product-catalog/view/generic-variant-121/,SHL Generic Test Variant 121: General assessment for various roles.,65,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 122,https://www.shl.com/products/product-catalog/view/generic-variant-122/,SHL Generic Test Variant 122: General assessment for various roles.,40,No,Yes,['Personality & Behaviour']
Generic Test Variant 123,https://www.shl.com/products/product-catalog/view/generic-variant-123/,SHL Generic Test Variant 123: General assessment for various roles.,30,No,Yes,['Personality & Behaviour']
Generic Test Variant 124,https://www.shl.com/products/product-catalog/view/generic-variant-124/,SHL Generic Test Variant 124: General assessment for various roles.,50,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 125,https://www.shl.com/products/product-catalog/view/generic-variant-125/,SHL Generic Test Variant 125: General assessment for various roles.,55,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 126,https://www.shl.com/products/product-catalog/view/generic-variant-126/,SHL Generic Test Variant 126: General assessment for various roles.,30,No,Yes,['Knowledge & Skills']
Generic Test Variant 127,https://www.shl.com/products/product-catalog/view/generic-variant-127/,SHL Generic Test Variant 127: General assessment for various roles.,25,No,Yes,['Personality & Behaviour']
Generic Test Variant 128,https://www.shl.com/products/product-catalog/view/generic-variant-128/,SHL Generic Test Variant 128: General assessment for various roles.,55,No,Yes,['Personality & Behaviour']
Generic Test Variant 129,https://www.shl.com/products/product-catalog/view/generic-variant-129/,SHL Generic Test Variant 129: General assessment for various roles.,55,No,Yes,['Knowledge & Skills']
Generic Test Variant 130,https://www.shl.com/products/product-catalog/view/generic-variant-130/,SHL Generic Test Variant 130: General assessment for various roles.,40,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 131,https://www.shl.com/products/product-catalog/view/generic-variant-131/,SHL Generic Test Variant 131: General assessment for various roles.,30,No,Yes,['Knowledge & Skills']
Generic Test Variant 132,https://www.shl.com/products/product-catalog/view/generic-variant-132/,SHL Generic Test Variant 132: General assessment for various roles.,60,No,Yes,['Knowledge & Skills']
Generic Test Variant 133,https://www.shl.com/products/product-catalog/view/generic-variant-133/,SHL Generic Test Variant 133: General assessment for various roles.,35,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 134,https://www.shl.com/products/product-catalog/view/generic-variant-134/,SHL Generic Test Variant 134: General assessment for various roles.,15,No,Yes,['Knowledge & Skills']
Generic Test Variant 135,https://www.shl.com/products/product-catalog/view/generic-variant-135/,SHL Generic Test Variant 135: General assessment for various roles.,55,No,Yes,['Knowledge & Skills']
Generic Test Variant 136,https://www.shl.com/products/product-catalog/view/generic-variant-136/,SHL Generic Test Variant 136: General assessment for various roles.,15,No,Yes,['Knowledge & Skills']
Generic Test Variant 137,https://www.shl.com/products/product-catalog/view/generic-variant-137/,SHL Generic Test Variant 137: General assessment for various roles.,55,No,Yes,['Knowledge & Skills']
Generic Test Variant 138,https://www.shl.com/products/product-catalog/view/generic-variant-138/,SHL Generic Test Variant 138: General assessment for various roles.,65,No,Yes,['Personality & Behaviour']
Generic Test Variant 139,https://www.shl.com/products/product-catalog/view/generic-variant-139/,SHL Generic Test Variant 139: General assessment for various roles.,40,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 140,https://www.shl.com/products/product-catalog/view/generic-variant-140/,SHL Generic Test Variant 140: General assessment for various roles.,25,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 141,https://www.shl.com/products/product-catalog/view/generic-variant-141/,SHL Generic Test Variant 141: General assessment for various roles.,35,No,Yes,['Personality & Behaviour']
Generic Test Variant 142,https://www.shl.com/products/product-catalog/view/generic-variant-142/,SHL Generic Test Variant 142: General assessment for various roles.,40,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 143,https://www.shl.com/products/product-catalog/view/generic-variant-143/,SHL Generic Test Variant 143: General assessment for various roles.,30,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 144,https://www.shl.com/products/product-catalog/view/generic-variant-144/,SHL Generic Test Variant 144: General assessment for various roles.,55,No,Yes,['Personality & Behaviour']
Generic Test Variant 145,https://www.shl.com/products/product-catalog/view/generic-variant-145/,SHL Generic Test Variant 145: General assessment for various roles.,55,No,Yes,['Personality & Behaviour']
Generic Test Variant 146,https://www.shl.com/products/product-catalog/view/generic-variant-146/,SHL Generic Test Variant 146: General assessment for various roles.,35,No,Yes,['Personality & Behaviour']
Generic Test Variant 147,https://www.shl.com/products/product-catalog/view/generic-variant-147/,SHL Generic Test Variant 147: General assessment for various roles.,60,No,Yes,['Knowledge & Skills']
Generic Test Variant 148,https://www.shl.com/products/product-catalog/view/generic-variant-148/,SHL Generic Test Variant 148: General assessment for various roles.,65,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 149,https://www.shl.com/products/product-catalog/view/generic-variant-149/,SHL Generic Test Variant 149: General assessment for various roles.,60,No,Yes,['Knowledge & Skills']
Generic Test Variant 150,https://www.shl.com/products/product-catalog/view/generic-variant-150/,SHL Generic Test Variant 150: General assessment for various roles.,60,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 151,https://www.shl.com/products/product-catalog/view/generic-variant-151/,SHL Generic Test Variant 151: General assessment for various roles.,15,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 152,https://www.shl.com/products/product-catalog/view/generic-variant-152/,SHL Generic Test Variant 152: General assessment for various roles.,25,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 153,https://www.shl.com/products/product-catalog/view/generic-variant-153/,SHL Generic Test Variant 153: General assessment for various roles.,15,No,Yes,['Personality & Behaviour']
Generic Test Variant 154,https://www.shl.com/products/product-catalog/view/generic-variant-154/,SHL Generic Test Variant 154: General assessment for various roles.,35,No,Yes,['Personality & Behaviour']
Generic Test Variant 155,https://www.shl.com/products/product-catalog/view/generic-variant-155/,SHL Generic Test Variant 155: General assessment for various roles.,45,No,Yes,['Personality & Behaviour']
Generic Test Variant 156,https://www.shl.com/products/product-catalog/view/generic-variant-156/,SHL Generic Test Variant 156: General assessment for various roles.,60,No,Yes,['Personality & Behaviour']
Generic Test Variant 157,https://www.shl.com/products/product-catalog/view/generic-variant-157/,SHL Generic Test Variant 157: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 158,https://www.shl.com/products/product-catalog/view/generic-variant-158/,SHL Generic Test Variant 158: General assessment for various roles.,40,No,Yes,['Knowledge & Skills']
Generic Test Variant 159,https://www.shl.com/products/product-catalog/view/generic-variant-159/,SHL Generic Test Variant 159: General assessment for various roles.,40,No,Yes,['Personality & Behaviour']
Generic Test Variant 160,https://www.shl.com/products/product-catalog/view/generic-variant-160/,SHL Generic Test Variant 160: General assessment for various roles.,10,No,Yes,['Personality & Behaviour']
Generic Test Variant 161,https://www.shl.com/products/product-catalog/view/generic-variant-161/,SHL Generic Test Variant 161: General assessment for various roles.,50,No,Yes,['Personality & Behaviour']
Generic Test Variant 162,https://www.shl.com/products/product-catalog/view/generic-variant-162/,SHL Generic Test Variant 162: General assessment for various roles.,65,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 163,https://www.shl.com/products/product-catalog/view/generic-variant-163/,SHL Generic Test Variant 163: General assessment for various roles.,50,No,Yes,['Knowledge & Skills']
Generic Test Variant 164,https://www.shl.com/products/product-catalog/view/generic-variant-164/,SHL Generic Test Variant 164: General assessment for various roles.,45,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 165,https://www.shl.com/products/product-catalog/view/generic-variant-165/,SHL Generic Test Variant 165: General assessment for various roles.,15,No,Yes,['Personality & Behaviour']
Generic Test Variant 166,https://www.shl.com/products/product-catalog/view/generic-variant-166/,SHL Generic Test Variant 166: General assessment for various roles.,25,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 167,https://www.shl.com/products/product-catalog/view/generic-variant-167/,SHL Generic Test Variant 167: General assessment for various roles.,55,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 168,https://www.shl.com/products/product-catalog/view/generic-variant-168/,SHL Generic Test Variant 168: General assessment for various roles.,60,No,Yes,['Personality & Behaviour']
Generic Test Variant 169,https://www.shl.com/products/product-catalog/view/generic-variant-169/,SHL Generic Test Variant 169: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 170,https://www.shl.com/products/product-catalog/view/generic-variant-170/,SHL Generic Test Variant 170: General assessment for various roles.,55,No,Yes,['Personality & Behaviour']
Generic Test Variant 171,https://www.shl.com/products/product-catalog/view/generic-variant-171/,SHL Generic Test Variant 171: General assessment for various roles.,15,No,Yes,['Knowledge & Skills']
Generic Test Variant 172,https://www.shl.com/products/product-catalog/view/generic-variant-172/,SHL Generic Test Variant 172: General assessment for various roles.,45,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 173,https://www.shl.com/products/product-catalog/view/generic-variant-173/,SHL Generic Test Variant 173: General assessment for various roles.,15,No,Yes,['Personality & Behaviour']
Generic Test Variant 174,https://www.shl.com/products/product-catalog/view/generic-variant-174/,SHL Generic Test Variant 174: General assessment for various roles.,65,No,Yes,['Personality & Behaviour']
Generic Test Variant 175,https://www.shl.com/products/product-catalog/view/generic-variant-175/,SHL Generic Test Variant 175: General assessment for various roles.,50,No,Yes,['Knowledge & Skills']
Generic Test Variant 176,https://www.shl.com/products/product-catalog/view/generic-variant-176/,SHL Generic Test Variant 176: General assessment for various roles.,30,No,Yes,['Knowledge & Skills']
Generic Test Variant 177,https://www.shl.com/products/product-catalog/view/generic-variant-177/,SHL Generic Test Variant 177: General assessment for various roles.,35,No,Yes,['Knowledge & Skills']
Generic Test Variant 178,https://www.shl.com/products/product-catalog/view/generic-variant-178/,SHL Generic Test Variant 178: General assessment for various roles.,65,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 179,https://www.shl.com/products/product-catalog/view/generic-variant-179/,SHL Generic Test Variant 179: General assessment for various roles.,65,No,Yes,['Knowledge & Skills']
Generic Test Variant 180,https://www.shl.com/products/product-catalog/view/generic-variant-180/,SHL Generic Test Variant 180: General assessment for various roles.,15,No,Yes,['Knowledge & Skills']
Generic Test Variant 181,https://www.shl.com/products/product-catalog/view/generic-variant-181/,SHL Generic Test Variant 181: General assessment for various roles.,10,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 182,https://www.shl.com/products/product-catalog/view/generic-variant-182/,SHL Generic Test Variant 182: General assessment for various roles.,30,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 183,https://www.shl.com/products/product-catalog/view/generic-variant-183/,SHL Generic Test Variant 183: General assessment for various roles.,60,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 184,https://www.shl.com/products/product-catalog/view/generic-variant-184/,SHL Generic Test Variant 184: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 185,https://www.shl.com/products/product-catalog/view/generic-variant-185/,SHL Generic Test Variant 185: General assessment for various roles.,30,No,Yes,['Knowledge & Skills']
Generic Test Variant 186,https://www.shl.com/products/product-catalog/view/generic-variant-186/,SHL Generic Test Variant 186: General assessment for various roles.,55,No,Yes,['Knowledge & Skills']
Generic Test Variant 187,https://www.shl.com/products/product-catalog/view/generic-variant-187/,SHL Generic Test Variant 187: General assessment for various roles.,65,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 188,https://www.shl.com/products/product-catalog/view/generic-variant-188/,SHL Generic Test Variant 188: General assessment for various roles.,35,No,Yes,['Knowledge & Skills']
Generic Test Variant 189,https://www.shl.com/products/product-catalog/view/generic-variant-189/,SHL Generic Test Variant 189: General assessment for various roles.,45,No,Yes,['Knowledge & Skills']
Generic Test Variant 190,https://www.shl.com/products/product-catalog/view/generic-variant-190/,SHL Generic Test Variant 190: General assessment for various roles.,10,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 191,https://www.shl.com/products/product-catalog/view/generic-variant-191/,SHL Generic Test Variant 191: General assessment for various roles.,55,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 192,https://www.shl.com/products/product-catalog/view/generic-variant-192/,SHL Generic Test Variant 192: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 193,https://www.shl.com/products/product-catalog/view/generic-variant-193/,SHL Generic Test Variant 193: General assessment for various roles.,30,No,Yes,['Knowledge & Skills']
Generic Test Variant 194,https://www.shl.com/products/product-catalog/view/generic-variant-194/,SHL Generic Test Variant 194: General assessment for various roles.,55,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 195,https://www.shl.com/products/product-catalog/view/generic-variant-195/,SHL Generic Test Variant 195: General assessment for various roles.,60,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 196,https://www.shl.com/products/product-catalog/view/generic-variant-196/,SHL Generic Test Variant 196: General assessment for various roles.,65,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 197,https://www.shl.com/products/product-catalog/view/generic-variant-197/,SHL Generic Test Variant 197: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 198,https://www.shl.com/products/product-catalog/view/generic-variant-198/,SHL Generic Test Variant 198: General assessment for various roles.,10,No,Yes,['Personality & Behaviour']
Generic Test Variant 199,https://www.shl.com/products/product-catalog/view/generic-variant-199/,SHL Generic Test Variant 199: General assessment for various roles.,45,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 200,https://www.shl.com/products/product-catalog/view/generic-variant-200/,SHL Generic Test Variant 200: General assessment for various roles.,40,No,Yes,['Knowledge & Skills']
Generic Test Variant 201,https://www.shl.com/products/product-catalog/view/generic-variant-201/,SHL Generic Test Variant 201: General assessment for various roles.,30,No,Yes,['Personality & Behaviour']
Generic Test Variant 202,https://www.shl.com/products/product-catalog/view/generic-variant-202/,SHL Generic Test Variant 202: General assessment for various roles.,15,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 203,https://www.shl.com/products/product-catalog/view/generic-variant-203/,SHL Generic Test Variant 203: General assessment for various roles.,45,No,Yes,['Personality & Behaviour']
Generic Test Variant 204,https://www.shl.com/products/product-catalog/view/generic-variant-204/,SHL Generic Test Variant 204: General assessment for various roles.,65,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 205,https://www.shl.com/products/product-catalog/view/generic-variant-205/,SHL Generic Test Variant 205: General assessment for various roles.,10,No,Yes,['Knowledge & Skills']
Generic Test Variant 206,https://www.shl.com/products/product-catalog/view/generic-variant-206/,SHL Generic Test Variant 206: General assessment for various roles.,30,No,Yes,['Personality & Behaviour']
Generic Test Variant 207,https://www.shl.com/products/product-catalog/view/generic-variant-207/,SHL Generic Test Variant 207: General assessment for various roles.,65,No,Yes,['Knowledge & Skills']
Generic Test Variant 208,https://www.shl.com/products/product-catalog/view/generic-variant-208/,SHL Generic Test Variant 208: General assessment for various roles.,30,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 209,https://www.shl.com/products/product-catalog/view/generic-variant-209/,SHL Generic Test Variant 209: General assessment for various roles.,25,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 210,https://www.shl.com/products/product-catalog/view/generic-variant-210/,SHL Generic Test Variant 210: General assessment for various roles.,20,No,Yes,['Knowledge & Skills']
Generic Test Variant 211,https://www.shl.com/products/product-catalog/view/generic-variant-211/,SHL Generic Test Variant 211: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 212,https://www.shl.com/products/product-catalog/view/generic-variant-212/,SHL Generic Test Variant 212: General assessment for various roles.,10,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 213,https://www.shl.com/products/product-catalog/view/generic-variant-213/,SHL Generic Test Variant 213: General assessment for various roles.,20,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 214,https://www.shl.com/products/product-catalog/view/generic-variant-214/,SHL Generic Test Variant 214: General assessment for various roles.,10,No,Yes,['Personality & Behaviour']
Generic Test Variant 215,https://www.shl.com/products/product-catalog/view/generic-variant-215/,SHL Generic Test Variant 215: General assessment for various roles.,50,No,Yes,['Knowledge & Skills']
Generic Test Variant 216,https://www.shl.com/products/product-catalog/view/generic-variant-216/,SHL Generic Test Variant 216: General assessment for various roles.,10,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 217,https://www.shl.com/products/product-catalog/view/generic-variant-217/,SHL Generic Test Variant 217: General assessment for various roles.,20,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 218,https://www.shl.com/products/product-catalog/view/generic-variant-218/,SHL Generic Test Variant 218: General assessment for various roles.,10,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 219,https://www.shl.com/products/product-catalog/view/generic-variant-219/,SHL Generic Test Variant 219: General assessment for various roles.,65,No,Yes,['Knowledge & Skills']
Generic Test Variant 220,https://www.shl.com/products/product-catalog/view/generic-variant-220/,SHL Generic Test Variant 220: General assessment for various roles.,30,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 221,https://www.shl.com/products/product-catalog/view/generic-variant-221/,SHL Generic Test Variant 221: General assessment for various roles.,55,No,Yes,['Personality & Behaviour']
Generic Test Variant 222,https://www.shl.com/products/product-catalog/view/generic-variant-222/,SHL Generic Test Variant 222: General assessment for various roles.,30,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 223,https://www.shl.com/products/product-catalog/view/generic-variant-223/,SHL Generic Test Variant 223: General assessment for various roles.,30,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 224,https://www.shl.com/products/product-catalog/view/generic-variant-224/,SHL Generic Test Variant 224: General assessment for various roles.,35,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 225,https://www.shl.com/products/product-catalog/view/generic-variant-225/,SHL Generic Test Variant 225: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 226,https://www.shl.com/products/product-catalog/view/generic-variant-226/,SHL Generic Test Variant 226: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 227,https://www.shl.com/products/product-catalog/view/generic-variant-227/,SHL Generic Test Variant 227: General assessment for various roles.,45,No,Yes,['Personality & Behaviour']
Generic Test Variant 228,https://www.shl.com/products/product-catalog/view/generic-variant-228/,SHL Generic Test Variant 228: General assessment for various roles.,30,No,Yes,['Personality & Behaviour']
Generic Test Variant 229,https://www.shl.com/products/product-catalog/view/generic-variant-229/,SHL Generic Test Variant 229: General assessment for various roles.,40,No,Yes,['Personality & Behaviour']
Generic Test Variant 230,https://www.shl.com/products/product-catalog/view/generic-variant-230/,SHL Generic Test Variant 230: General assessment for various roles.,35,No,Yes,['Personality & Behaviour']
Generic Test Variant 231,https://www.shl.com/products/product-catalog/view/generic-variant-231/,SHL Generic Test Variant 231: General assessment for various roles.,40,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 232,https://www.shl.com/products/product-catalog/view/generic-variant-232/,SHL Generic Test Variant 232: General assessment for various roles.,15,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 233,https://www.shl.com/products/product-catalog/view/generic-variant-233/,SHL Generic Test Variant 233: General assessment for various roles.,35,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 234,https://www.shl.com/products/product-catalog/view/generic-variant-234/,SHL Generic Test Variant 234: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 235,https://www.shl.com/products/product-catalog/view/generic-variant-235/,SHL Generic Test Variant 235: General assessment for various roles.,55,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 236,https://www.shl.com/products/product-catalog/view/generic-variant-236/,SHL Generic Test Variant 236: General assessment for various roles.,45,No,Yes,['Knowledge & Skills']
Generic Test Variant 237,https://www.shl.com/products/product-catalog/view/generic-variant-237/,SHL Generic Test Variant 237: General assessment for various roles.,65,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 238,https://www.shl.com/products/product-catalog/view/generic-variant-238/,SHL Generic Test Variant 238: General assessment for various roles.,40,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 239,https://www.shl.com/products/product-catalog/view/generic-variant-239/,SHL Generic Test Variant 239: General assessment for various roles.,20,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 240,https://www.shl.com/products/product-catalog/view/generic-variant-240/,SHL Generic Test Variant 240: General assessment for various roles.,65,No,Yes,['Personality & Behaviour']
Generic Test Variant 241,https://www.shl.com/products/product-catalog/view/generic-variant-241/,SHL Generic Test Variant 241: General assessment for various roles.,40,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 242,https://www.shl.com/products/product-catalog/view/generic-variant-242/,SHL Generic Test Variant 242: General assessment for various roles.,25,No,Yes,['Knowledge & Skills']
Generic Test Variant 243,https://www.shl.com/products/product-catalog/view/generic-variant-243/,SHL Generic Test Variant 243: General assessment for various roles.,10,No,Yes,['Knowledge & Skills']
Generic Test Variant 244,https://www.shl.com/products/product-catalog/view/generic-variant-244/,SHL Generic Test Variant 244: General assessment for various roles.,50,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 245,https://www.shl.com/products/product-catalog/view/generic-variant-245/,SHL Generic Test Variant 245: General assessment for various roles.,30,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 246,https://www.shl.com/products/product-catalog/view/generic-variant-246/,SHL Generic Test Variant 246: General assessment for various roles.,55,No,Yes,['Knowledge & Skills']
Generic Test Variant 247,https://www.shl.com/products/product-catalog/view/generic-variant-247/,SHL Generic Test Variant 247: General assessment for various roles.,65,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 248,https://www.shl.com/products/product-catalog/view/generic-variant-248/,SHL Generic Test Variant 248: General assessment for various roles.,55,No,Yes,['Knowledge & Skills']
Generic Test Variant 249,https://www.shl.com/products/product-catalog/view/generic-variant-249/,SHL Generic Test Variant 249: General assessment for various roles.,15,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 250,https://www.shl.com/products/product-catalog/view/generic-variant-250/,SHL Generic Test Variant 250: General assessment for various roles.,65,Yes,Yes,['Personality & Behaviour']
Generic Test Variant 251,https://www.shl.com/products/product-catalog/view/generic-variant-251/,SHL Generic Test Variant 251: General assessment for various roles.,40,Yes,Yes,['Knowledge & Skills']
Generic Test Variant 252,https://www.shl.com/products/product-catalog/view/generic-variant-252/,SHL Generic Test Variant 252: General assessment for various roles.,10,No,Yes,['Personality & Behaviour']
Generic Test Variant 253,https://www.shl.com/products/product-catalog/view/generic-variant-253/,SHL Generic Test Variant 253: General assessment for various roles.,10,No,Yes,['Knowledge & Skills']
Generic Test Variant 254,https://www.shl.com/products/product-catalog/view/generic-variant-254/,SHL Generic Test Variant 254: General assessment for various roles.,10,No,Yes,['Knowledge & Skills']
Generic Test Variant 255,https://www.shl.com/products/product-catalog/view/generic-variant-255/,SHL Generic Test Variant 255: General assessment for various roles.,55,No,Yes,['Personality & Behaviour']
Generic Test Variant 256,https://www.shl.com/products/product-catalog/view/generic-variant-256/,SHL Generic Test Variant 256: General assessment for various roles.,45,Yes,Yes,['Personality & Behaviour']
